Force,Compressive stress,Compressive strain (Displacement)
(N),(MPa),(%)
"2.7526","0.0003","517675622400.0000"
"2.7672","0.0003","518675507200.0000"
"2.7817","0.0003","519675392000.0000"
"2.7952","0.0003","520675328000.0000"
"2.8076","0.0003","521675212800.0000"
"2.8190","0.0003","522675097600.0000"
"2.8294","0.0003","523675084800.0000"
"2.8388","0.0003","524674969600.0000"
"2.8473","0.0003","525674905600.0000"
"2.8551","0.0004","526674790400.0000"
"2.8626","0.0004","527674726400.0000"
"2.8703","0.0004","528674611200.0000"
"2.8783","0.0004","529674547200.0000"
"2.8867","0.0004","530674432000.0000"
"2.8951","0.0004","531674368000.0000"
"2.9036","0.0004","532674252800.0000"
"2.9123","0.0004","533674137600.0000"
"2.9214","0.0004","534674073600.0000"
"2.9302","0.0004","535673958400.0000"
"2.9382","0.0004","536673894400.0000"
"2.9452","0.0004","537673881600.0000"
"2.9516","0.0004","538673868800.0000"
"2.9577","0.0004","539673753600.0000"
"2.9635","0.0004","540673792000.0000"
"2.9687","0.0004","541673830400.0000"
"2.9736","0.0004","542673817600.0000"
"2.9790","0.0004","543673804800.0000"
"2.9853","0.0004","544673894400.0000"
"2.9932","0.0004","545673932800.0000"
"3.0025","0.0004","546673971200.0000"
"3.0129","0.0004","547674060800.0000"
"3.0246","0.0004","548674099200.0000"
"3.0372","0.0004","549674188800.0000"
"3.0501","0.0004","550674278400.0000"
"3.0626","0.0004","551674214400.0000"
"3.0740","0.0004","552674304000.0000"
"3.0842","0.0004","553674393600.0000"
"3.0930","0.0004","554674380800.0000"
"3.1011","0.0004","555674470400.0000"
"3.1085","0.0004","556674508800.0000"
"3.1158","0.0004","557674496000.0000"
"3.1239","0.0004","558674534400.0000"
"3.1340","0.0004","559674675200.0000"
"3.1465","0.0004","560674662400.0000"
"3.1607","0.0004","561674752000.0000"
"3.1756","0.0004","562674841600.0000"
"3.1908","0.0004","563674931200.0000"
"3.2065","0.0004","564675072000.0000"
"3.2226","0.0004","565675161600.0000"
"3.2386","0.0004","566675353600.0000"
"3.2540","0.0004","567675443200.0000"
"3.2685","0.0004","568675635200.0000"
"3.2825","0.0004","569675776000.0000"
"3.2962","0.0004","570675916800.0000"
"3.3095","0.0004","571676057600.0000"
"3.3220","0.0004","572676300800.0000"
"3.3335","0.0004","573676339200.0000"
"3.3445","0.0004","574676531200.0000"
"3.3551","0.0004","575676620800.0000"
"3.3653","0.0004","576676710400.0000"
"3.3751","0.0004","577676800000.0000"
"3.3846","0.0004","578676838400.0000"
"3.3941","0.0004","579676928000.0000"
"3.4035","0.0004","580677017600.0000"
"3.4131","0.0004","581677056000.0000"
"3.4225","0.0004","582677094400.0000"
"3.4308","0.0004","583677184000.0000"
"3.4375","0.0004","584677171200.0000"
"3.4431","0.0004","585677209600.0000"
"3.4487","0.0004","586677299200.0000"
"3.4549","0.0004","587677337600.0000"
"3.4623","0.0004","588677427200.0000"
"3.4705","0.0004","589677516800.0000"
"3.4795","0.0004","590677555200.0000"
"3.4891","0.0004","591677644800.0000"
"3.4994","0.0004","592677734400.0000"
"3.5106","0.0004","593677772800.0000"
"3.5229","0.0004","594677913600.0000"
"3.5361","0.0004","595677952000.0000"
"3.5500","0.0004","596678041600.0000"
"3.5643","0.0004","597678131200.0000"
"3.5789","0.0004","598678169600.0000"
"3.5933","0.0004","599678208000.0000"
"3.6072","0.0004","600678246400.0000"
"3.6207","0.0004","601678182400.0000"
"3.6337","0.0004","602678220800.0000"
"3.6458","0.0004","603678259200.0000"
"3.6567","0.0004","604678195200.0000"
"3.6666","0.0005","605678182400.0000"
"3.6765","0.0005","606678272000.0000"
"3.6870","0.0005","607678259200.0000"
"3.6983","0.0005","608678195200.0000"
"3.7099","0.0005","609678233600.0000"
"3.7214","0.0005","610678272000.0000"
